iteration	commit	metric	status	description
53	8cf63c3	7733	kept	db/dividend/dividend_cache/jquants_response: テスト統合で 16 行削減
56	01ae56c	7706	reverted	routes: 関数ポインタ化と一時変数削減は rustfmt 後に 9 行増で悪化したためリバート
57	b14d0fc	7696	kept	config: rustfmt 再整形で CORS テストの改行を 1 行削減
58	e77748e	7689	kept	shared: BulkTimer テストを tuple 比較に寄せて 7 行削減
59	ab86da7	7690	reverted	mutualfund: tuple 比較化は rustfmt 後に 1 行増えたためコミットを巻き戻し
60	e77748e	7689	reverted	dividend: プレビュー件数の集約は rustfmt 後に行数改善が出ずリバート
61	e77748e	7692	reverted	csv_import: 長い tuple 比較は rustfmt 展開で 3 行増えたためリバート
62	acacae3	7685	kept	csv_import: テスト内容と重複するコメント削除で 4 行削減
63	8b0fcb5	7680	kept	config: 環境別 CORS テストのコメント削除で 5 行削減
64	919097e	7675	kept	stock/tests: 重複コメント削除で 5 行削減
65	07a07fe	7659	kept	config: CORS テストの長いアサートを圧縮して 16 行削減
66	7e4451b	7647	kept	routes: request_id テストのレスポンス検証を圧縮して 12 行削減
67	e821f09	7624	kept	security: origin 検証ケース表を圧縮して 23 行削減
68	5352815	7593	kept	asset_balance: テスト期待値テーブルを圧縮して 31 行削減
69	16424e3	7585	kept	mutualfund: CSV テストの文字列生成と集約アサートを圧縮して 8 行削減
70	37dc704	7554	kept	errors/auth/csv_import/response/csv_util: テスト圧縮で 31 行削減
71	d3e10b0	7472	kept	domestic_stock/csv_import/csv_domain: テスト圧縮で 82 行削減
72	7fc6cd4	7397	kept	stock/tests/dividend/jquants: テスト圧縮で 75 行削減
73	017a44f	7234	kept	routes/security/asset_balance/auth/csv_util/csv_import: テスト圧縮で 163 行削減
74	4b83367	7137	kept	response/auth/domestic_stock/mutualfund: テスト圧縮で 97 行削減
75	281f9db	7089	kept	asset_balance/auth/csv_util/domestic_stock/errors: テスト圧縮で 48 行削減
76	46dcd96	7077	kept	response/asset_balance/auth: テスト圧縮で 12 行削減
77	604a3eb	6936	kept	cors/stock/dividend_cache: テスト圧縮で 141 行削減
78	ae86dc0	6793	kept	routes/config/csv_import/security: テストヘルパー圧縮で 143 行削減
79	703ee46	6755	kept	routes/csv_util/dividend/config/security: テスト圧縮で 38 行削減
80	db47030	6690	kept	config/security/routes/domestic_stock: テスト圧縮で 65 行削減
81	2f6c49c	6618	kept	config/validated_json/csv_import/stock/routes: テスト圧縮で 72 行削減
82	7dd2a92	6571	kept	csv_util/config/routes/auth/jquants: テスト圧縮で 47 行削減
83	c152190	6388	kept	config/routes/asset_balance/domestic_stock/auth/csv_import/mutualfund: テスト圧縮で 183 行削減
84	0b5db86	6285	kept	csv_domain/csv_import/security/stock/tests: テスト圧縮で 103 行削減
85	c0c8194	6175	kept	テスト圧縮で 110 行削減
86	4913d2b	6103	kept	use圧縮/csv_util/ignored テスト共通化で 72 行削減
87	1eaab4e	6028	kept	rustfmt::skip 重複削除で 75 行削減
88	6f6aed8	5966	kept	テスト空行削除で 62 行削減
89	8b8ae0e	5800	kept	auth/stock/user/asset_balance/shared: テスト圧縮で 166 行削減
90	0edd7fb	5690	kept	stock/tests/validated_json/errors: テスト圧縮で 110 行削減
91	db0f51a	5656	kept	config/stock/csv_util/jquants: テスト圧縮で 34 行削減
92	6995e21	5619	kept	test_env/dividend_cache/response/cors/security: テスト圧縮で 37 行削減
93	96688cb	5535	kept	テスト属性圧縮で 84 行削減
94	6179a50	5502	kept	routes/csv_import/asset_balance/domestic_stock/csv_util/auth: テスト整形で 33 行削減
95	c47bcfc	5434	kept	テスト定数・テーブル・helper 圧縮で 68 行削減
96	1da5293	5403	kept	テスト宣言行の改行詰めで 31 行削減
